bomayeanlim,RT @libe: La BNP Paribas visée par une plainte pour «complicité de crimes contre l’humanité» https://t.co/JgCh9VXnay,2019-09-27 07:45:08,0
FabriceGueant,RT @Sarah__Matias: Tu es étudiant en #informatique ? Participe jusqu'au 8 novembre au #ChallengeITAXA et prouve que tu es LE meilleur en Fr…,2019-09-27 07:45:11,0
User Name,Text,Date,RT Count
teamsecurity3,"Issue #32 - Volume XXI - SANS Newsbites - April 23rd, 2019
 #cybersecurity #news #infosec
 https://t.co/JH9q3GmeGw",2019-09-28 10:00:03,0
girondins,📢N’oubliez pas de venir au Matmut ATLANTIQUE en transport doux et de participer à notre jeu concours avec… https://t.co/ZN56bKzNN3,2019-09-28 10:00:05,0
lightningheroft,l’anniversaire a mae demain mon chaton,2019-09-28 10:00:07,0
Breogan_25,@ZeldrisZ9 @_Roobinho Gros Twitter c'est cerise de groupama,2019-09-28 10:00:12,0
Akandoll_,"La fille qui sera entrain de courir à Montparnasse en direction de la société Générale avec un afro , sachez que si… https://t.co/rF0Cr6Fa5h",2019-09-28 10:00:34,0
Bridebulle,"RT @LDH_Fr: [Justice]
9 victimes soudanaises soutenues par @fidh_fr #LDH et @AfricanCentre portent plainte en France contre @BNPParibas pou…",2019-09-28 10:01:29,0
jailynloxvexxx,Double Trouble x Follow @TheAprilFlores  x @karlaxxxlane !,2019-09-28 10:01:38,0
Zak_A239,@IlamASN La banque postale wAllah je les hais de toutes mes forces frero j’te jure j’ai envie d’aller les allumer,2019-09-28 10:01:38,0
Rue89_Chinatown,"Commentaire dépité de Joshua Wong sur l’affaire BNP Paribas à Hong Kong, qui s’est conclue par le départ d’un cadre… https://t.co/ytcnQst4oq",2019-09-28 10:01:45,0
User Name,Text,Date,RT Count
User Name,Text,Date,RT Count
achemynes,"Bravo pour l'affluence les fans, et que dire de l'ambiance. Mais bon, on a été ridicule face au Groupama Stadium,… https://t.co/AQ6gUT6fcq",2019-09-30 08:32:24,0
Miss_S_Fab,RT @itsneferaa: ptit rappel que hors prescription medicale on ne nettoie pas sa vulve au savon ni même avec ces gels intimes qui en font qu…,2019-09-30 08:32:31,0
